+EI TIC MRM (** -> **) 20221016 H5 2 MRM22.d  Subtract		
Index	X	Y
0	6.005	-4.11
1	6.01	-1.87
2	6.014	-0.05
3	6.019	0.83
4	6.023	0.94
5	6.028	0.77
6	6.033	0.49
7	6.037	0.23
8	6.042	0.07
9	6.046	0.01
10	6.051	0
11	6.055	0
12	6.06	0.01
13	6.064	0.01
14	6.069	-0.04
15	6.073	-0.23
16	6.078	-0.62
17	6.082	-0.89
18	6.087	-0.85
19	6.091	-1.02
20	6.096	-1.79
21	6.1	-3
22	6.105	-4.2
23	6.11	-4.32
24	6.114	-2.93
25	6.119	-1.97
26	6.123	-2.88
27	6.128	-4.34
28	6.132	-5.23
29	6.137	-5.63
30	6.141	-5.32
31	6.146	-4.81
32	6.15	-5.14
33	6.155	-5.78
34	6.159	-4.9
35	6.164	-2.33
36	6.168	0.06
37	6.173	1.05
38	6.177	1.08
39	6.182	0.74
40	6.187	0.46
41	6.191	0.63
42	6.196	1.27
43	6.2	2.07
44	6.205	2.66
45	6.209	2.64
46	6.214	1.89
47	6.218	0.79
48	6.223	0
49	6.227	-0.23
50	6.232	-0.34
51	6.236	-0.44
52	6.241	0.02
53	6.245	1.06
54	6.25	1.95
55	6.254	2.34
56	6.259	2.39
57	6.263	2.4
58	6.268	2.47
59	6.273	2.36
60	6.277	1.91
61	6.282	1.41
62	6.286	1.28
63	6.291	1.58
64	6.295	2.06
65	6.3	2.29
66	6.304	1.99
67	6.309	1.44
68	6.313	1.25
69	6.318	1.5
70	6.322	1.77
71	6.327	1.78
72	6.331	1.33
73	6.336	0.35
74	6.34	-0.56
75	6.345	-0.87
76	6.35	-0.8
77	6.354	-0.73
78	6.359	-0.8
79	6.363	-0.63
80	6.368	0.28
81	6.372	1.47
82	6.377	1.72
83	6.381	1.03
84	6.386	0.7
85	6.39	1.19
86	6.395	1.8
87	6.399	1.92
88	6.404	1.55
89	6.408	1.08
90	6.413	0.81
91	6.417	0.85
92	6.422	1.12
93	6.426	1.28
94	6.431	1.33
95	6.436	1.55
96	6.44	1.81
97	6.445	1.81
98	6.449	1.44
99	6.454	0.86
100	6.458	0.41
101	6.463	0.22
102	6.467	-0.07
103	6.472	-0.87
104	6.476	-2.15
105	6.481	-3.4
106	6.485	-4.37
107	6.49	-5.14
108	6.494	-5.55
109	6.499	-4.98
110	6.503	-3.24
111	6.508	-0.99
112	6.513	0.49
113	6.517	0.45
114	6.522	-0.12
115	6.526	0.14
116	6.531	0.85
117	6.535	0.95
118	6.54	0.52
119	6.544	0.31
120	6.549	0.41
121	6.553	0.62
122	6.558	1.2
123	6.562	2.14
124	6.567	2.84
125	6.571	2.72
126	6.576	1.56
127	6.58	-0.13
128	6.585	-1.93
129	6.59	-4.9
130	6.594	-10.87
131	6.599	-19.61
132	6.603	-27.92
133	6.608	-32.53
134	6.612	-31.33
135	6.617	-22.71
136	6.621	-8.74
137	6.626	4.44
138	6.63	11.79
139	6.635	12.6
140	6.639	9.69
141	6.644	6.11
142	6.648	3.36
143	6.653	2
144	6.657	1.77
145	6.662	1.63
146	6.666	1.31
147	6.671	1.24
148	6.676	1.55
149	6.68	1.72
150	6.685	1.3
151	6.689	0.72
152	6.694	0.57
153	6.698	0.88
154	6.703	1.33
155	6.707	1.53
156	6.712	1.62
157	6.716	1.82
158	6.721	2.06
159	6.725	2.37
160	6.73	2.78
161	6.734	3.27
162	6.739	4.15
163	6.743	5.45
164	6.748	6.6
165	6.753	7.15
166	6.757	7.35
167	6.762	7.81
168	6.766	8.78
169	6.771	10.18
170	6.775	12.2
171	6.78	14.62
172	6.784	16.97
173	6.789	19.79
174	6.793	24.09
175	6.798	30.54
176	6.802	39.43
177	6.807	48.84
178	6.811	54.14
179	6.816	52.56
180	6.82	45.13
181	6.825	34.39
182	6.829	23.59
183	6.834	15.23
184	6.839	9.81
185	6.843	6.2
186	6.848	3.57
187	6.852	2.2
188	6.857	2.51
189	6.861	3.66
190	6.866	4.24
191	6.87	3.81
192	6.875	2.95
193	6.879	2.58
194	6.884	3.17
195	6.888	4.06
196	6.893	4.38
197	6.897	4.02
198	6.902	3.31
199	6.906	2.49
200	6.911	1.73
201	6.916	1.3
202	6.92	1.46
203	6.925	1.83
204	6.929	1.62
205	6.934	0.88
206	6.938	0.27
207	6.943	0.04
208	6.947	-0.11
209	6.952	-0.27
210	6.956	-0.07
211	6.961	0.76
212	6.965	1.52
213	6.97	1.23
214	6.974	0.26
215	6.979	-0.42
216	6.983	-0.79
217	6.988	-1.21
218	6.993	-1.82
219	6.997	-2.77
220	7.002	-4.01
221	7.006	-5.06
222	7.011	-5.51
223	7.015	-5.39
224	7.02	-4.87
225	7.024	-4.06
226	7.029	-3.17
227	7.033	-1.99
228	7.038	0.14
229	7.042	2.94
230	7.047	5.19
231	7.051	6.19
232	7.056	6.01
233	7.06	5.17
234	7.065	4.01
235	7.069	2.67
236	7.074	1.46
237	7.079	0.54
238	7.083	-0.25
239	7.088	-0.85
240	7.092	-1.05
241	7.097	-0.89
242	7.101	-0.87
243	7.106	-2
244	7.11	-5.62
245	7.115	-14.54
246	7.119	-36.05
247	7.124	-82.86
248	7.128	-168.57
249	7.133	-298.98
250	7.137	-462.62
251	7.142	-628.3
252	7.146	-758.9
253	7.151	-832.48
254	7.156	-847.06
255	7.16	-800.91
256	7.165	-670.71
257	7.169	-393.66
258	7.174	126.05
259	7.178	968.35
260	7.183	2143.87
261	7.187	3476.29
262	7.192	4604.93
263	7.196	5174.89
264	7.201	4991.22
265	7.205	4137.16
266	7.21	2923.23
267	7.214	1741.47
268	7.219	868.27
269	7.223	375.76
270	7.228	161.04
271	7.233	91.83
272	7.237	74.49
273	7.242	67.96
274	7.246	62.53
275	7.251	57.81
276	7.255	59.13
277	7.26	71.95
278	7.264	92.82
279	7.269	113.16
280	7.273	123.43
281	7.278	118.59
282	7.282	101.76
283	7.287	80.78
284	7.291	61.04
285	7.296	44.26
286	7.3	30.17
287	7.305	19.26
288	7.309	12.68
289	7.314	9.9
290	7.319	9.21
291	7.323	8.78
292	7.328	7.52
293	7.332	6.23
294	7.337	6.4
295	7.341	7.7
296	7.346	8.46
297	7.35	7.5
298	7.355	5.46
299	7.359	3.6
300	7.364	2.26
301	7.368	2.03
302	7.373	4.01
303	7.377	7.55
304	7.382	10.08
305	7.386	9.9
306	7.391	7.7
307	7.396	4.99
308	7.4	2.49
309	7.405	0.74
310	7.409	0.2
311	7.414	0.51
312	7.418	0.85
313	7.423	0.69
314	7.427	-0.3
315	7.432	-2.5
316	7.436	-6.19
317	7.441	-10.94
318	7.445	-15.8
319	7.45	-20.33
320	7.454	-24.62
321	7.459	-28.5
322	7.463	-31.97
323	7.468	-34.72
324	7.472	-36
325	7.477	-35.8
326	7.482	-34.89
327	7.486	-32.9
328	7.491	-28.48
329	7.495	-21.72
330	7.5	-14.36
331	7.504	-8.2
332	7.509	-4.04
333	7.513	-2.2
334	7.518	-4.17
335	7.522	-12.06
336	7.527	-24.74
337	7.531	-37.67
338	7.536	-46.27
339	7.54	-49.65
340	7.545	-49.58
341	7.549	-47.81
342	7.554	-46.12
343	7.559	-45.48
344	7.563	-45.56
345	7.568	-46.56
346	7.572	-48.89
347	7.577	-50.9
348	7.581	-50.86
349	7.586	-53.61
350	7.59	-77.78
351	7.595	-165.06
352	7.599	-389.62
353	7.604	-855.08
354	7.608	-1660.98
355	7.613	-2833.94
356	7.617	-4282.53
357	7.622	-5827.84
358	7.626	-7270.78
359	7.631	-8453.2
360	7.636	-9334.28
361	7.64	-10029.16
362	7.645	-10691.92
363	7.649	-11343.37
364	7.654	-11874.88
365	7.658	-12133.26
366	7.663	-11906.36
367	7.667	-10908.6
368	7.672	-8875.58
369	7.676	-5548.5
370	7.681	-812.72
371	7.685	5045.1
372	7.69	11381.6
373	7.694	16999.2
374	7.699	20533.24
375	7.703	21174.18
376	7.708	18860.83
377	7.712	14182.56
378	7.717	8148.31
379	7.722	1985.96
380	7.726	-3204.05
381	7.731	-6669.83
382	7.735	-8217.39
383	7.74	-8049.11
384	7.744	-6717.22
385	7.749	-4945.06
386	7.753	-3301.83
387	7.758	-2049
388	7.762	-1203.04
389	7.767	-673.74
390	7.771	-360.62
391	7.776	-191.17
392	7.78	-124.68
393	7.785	-134.23
394	7.789	-193.25
395	7.794	-270.44
396	7.799	-335.56
397	7.803	-370.92
398	7.808	-378.16
399	7.812	-357.56
400	7.817	-306.6
401	7.821	-234.32
402	7.826	-159.01
403	7.83	-100.17
404	7.835	-65.69
405	7.839	-49.34
406	7.844	-42.07
407	7.848	-37.57
408	7.853	-31.86
409	7.857	-26.3
410	7.862	-26.31
411	7.866	-31.59
412	7.871	-35.35
413	7.875	-33.97
414	7.88	-28.56
415	7.885	-21.33
416	7.889	-15.19
417	7.894	-12.44
418	7.898	-12.52
419	7.903	-12.42
420	7.907	-9.69
421	7.912	-5.62
422	7.916	-3.71
423	7.921	-4.39
424	7.925	-5.71
425	7.93	-6.4
426	7.934	-5.03
427	7.939	-2.26
428	7.943	-0.8
429	7.948	-0.75
430	7.952	-0.84
431	7.957	-0.98
432	7.962	-1.09
433	7.966	-1.36
434	7.971	-1.48
435	7.975	-0.24
436	7.98	0.8
437	7.984	-0.76
438	7.989	-3.43
439	7.993	-5.1
440	7.998	-5.97
441	8.002	-6.94
442	8.007	-8.46
443	8.011	-8.97
444	8.016	-7.46
