#"+EI TIC MRM (** -> **) 20230518 Sample data MRM.d "		
#Point	X(Minutes)	Y(Counts)
0	6.005	48.6601676940918
1	6.01	32.8634414672852
2	6.014	19.6247615814209
3	6.019	12.3083934783936
4	6.023	9.67369651794434
5	6.028	8.85311508178711
6	6.032	8.52719402313232
7	6.037	8.26433753967285
8	6.042	7.94951915740967
9	6.046	7.52833986282349
10	6.051	7.04897308349609
11	6.055	6.63515377044678
12	6.06	6.37890911102295
13	6.064	6.30427169799805
14	6.069	6.38369560241699
15	6.073	6.54211139678955
16	6.078	6.72307014465332
17	6.082	6.91351985931396
18	6.087	7.06326198577881
19	6.091	7.12194728851318
20	6.096	7.18855285644531
21	6.1	7.57927227020264
22	6.105	8.43022632598877
23	6.109	9.30758380889893
24	6.114	9.70147895812988
25	6.118	9.69366359710693
26	6.123	9.61528968811035
27	6.128	9.53165721893311
28	6.132	9.442626953125
29	6.137	9.56205749511719
30	6.141	9.93891048431396
31	6.146	10.3256807327271
32	6.15	10.4809236526489
33	6.155	10.3888092041016
34	6.159	10.2380237579346
35	6.164	9.99218082427979
36	6.168	9.4476203918457
37	6.173	8.80145168304443
38	6.177	8.43215560913086
39	6.182	8.47713184356689
40	6.186	8.78643989562988
41	6.191	9.01092338562012
42	6.195	8.94968414306641
43	6.2	8.72182369232178
44	6.205	8.54348945617676
45	6.209	8.51427364349365
46	6.214	8.52506351470947
47	6.218	8.48033809661865
48	6.223	8.5203332901001
49	6.227	8.93459129333496
50	6.232	9.62768173217773
51	6.236	9.98606491088867
52	6.241	9.74904823303223
53	6.245	9.23803520202637
54	6.25	8.54974174499512
55	6.254	7.6914324760437
56	6.259	7.11190509796143
57	6.263	7.20644950866699
58	6.268	7.79399108886719
59	6.272	8.3353157043457
60	6.277	8.53881549835205
61	6.281	8.53859043121338
62	6.286	8.43578338623047
63	6.291	8.28186416625977
64	6.295	8.33136463165283
65	6.3	8.82663440704346
66	6.304	9.69169902801514
67	6.309	10.5285491943359
68	6.313	10.9077072143555
69	6.318	10.9016494750977
70	6.322	10.9382581710815
71	6.327	11.1557102203369
72	6.331	11.2342758178711
73	6.336	10.823169708252
74	6.34	10.0173950195313
75	6.345	9.3420524597168
76	6.349	9.08225631713867
77	6.354	9.07655715942383
78	6.358	9.125244140625
79	6.363	9.08601379394531
80	6.368	8.79005432128906
81	6.372	8.34834289550781
82	6.377	8.07127666473389
83	6.381	7.97618961334229
84	6.386	7.97613382339478
85	6.39	8.14757537841797
86	6.395	8.50562572479248
87	6.399	8.94864082336426
88	6.404	9.31645393371582
89	6.408	9.494948387146
90	6.413	9.54096412658691
91	6.417	9.6295337677002
92	6.422	9.89076232910156
93	6.426	10.304313659668
94	6.431	10.8862686157227
95	6.435	11.9372339248657
96	6.44	13.5769329071045
97	6.445	15.4049100875854
98	6.449	17.0813369750977
99	6.454	18.5719375610352
100	6.458	19.6448097229004
101	6.463	19.9498119354248
